Location_ID,County,City,State,Postal Code,Longitude,Latitude
L000858,Sedgwick,Wichita,KS,67218,-97.276985,37.672475
L000859,Nueces,Corpus Christi,TX,78412,-97.363680,27.704096
L000860,Nueces,Corpus Christi,TX,78414,-97.369593,27.665047
L000861,Williamson,Round Rock,TX,78681,-97.716870,30.513895
L000862,Bell,Killeen,TX,76542,-97.747090,31.097330
L000863,Travis,Austin,TX,78748,-97.819886,30.162887
L000864,Travis,Leander,TX,78641,-97.875560,30.558957
L000865,Garfield,Enid,OK,73703,-97.919657,36.402522
L000866,Wilson,La Vernia,TX,78121,-98.109320,29.338694
L000867,Bexar,San Antonio,TX,78258,-98.488694,29.637847
L000868,Wichita,Wichita Falls,TX,76310,-98.564378,33.843752
L000869,Bexar,San Antonio,TX,78251,-98.672686,29.458992
L000870,Bexar,San Antonio,TX,78254,-98.707096,29.529408
