Location_ID,County,City,State,Postal Code,Vehicle Location,Longitude,Latitude
L000334,Solano,Vacaville,CA,95688,POINT (-121.993505 38.353465),-121.993505,38.353465
L000335,King,Issaquah,WA,98029,POINT (-121.9993659 47.5484866),-121.9993659,47.5484866
L000336,King,Black Diamond,WA,98010,POINT (-122.014858 47.312069),-122.014858,47.312069
L000337,Lewis,Ashford,WA,98304,POINT (-122.0187185 46.7560603),-122.0187185,46.7560603
L000338,Pierce,Buckley,WA,98321,POINT (-122.029685 47.161465),-122.029685,47.161465
L000339,King,Sammamish,WA,98053,POINT (-122.030684 47.669552),-122.030684,47.669552
L000340,King,Maple Valley,WA,98038,POINT (-122.0310296 47.3861675),-122.0310296,47.3861675
L000341,King,Sammamish,WA,98074,POINT (-122.0313266 47.6285782),-122.0313266,47.6285782
L000342,King,Sammamish,WA,98075,POINT (-122.03309 47.58153),-122.03309,47.58153
L000343,King,Issaquah,WA,98027,POINT (-122.03646 47.534065),-122.03646,47.534065
L000344,Santa Clara,Cupertino,CA,95014,POINT (-122.036749 37.318549),-122.036749,37.318549
L000345,Snohomish,Snohomish,WA,98290,POINT (-122.0483457 47.9435765),-122.0483457,47.9435765
L000346,Pierce,Carbonado,WA,98323,POINT (-122.052435 47.07902),-122.052435,47.07902
L000347,Pierce,Wilkeson,WA,98396,POINT (-122.0527005 47.109146868),-122.0527005,47.109146868
L000348,Skagit,Lyman,WA,98263,POINT (-122.0597821 48.5255496),-122.0597821,48.5255496
L000349,Snohomish,Woodinville,WA,98077,POINT (-122.071404 47.749164),-122.071404,47.749164
L000350,Pierce,South Prairie,WA,98385,POINT (-122.096795 47.137975),-122.096795,47.137975
L000351,Santa Clara,Palo Alto,CA,94303,POINT (-122.10567 37.424955),-122.10567,37.424955
L000352,Snohomish,Lake Stevens,WA,98258,POINT (-122.112265 48.0047),-122.112265,48.0047
L000353,King,Covington,WA,98042,POINT (-122.1145138 47.3581107),-122.1145138,47.3581107
L000354,Snohomish,Arlington,WA,98223,POINT (-122.11597 48.194109),-122.11597,48.194109
L000355,King,Bellevue,WA,98008,POINT (-122.11832 47.6245),-122.11832,47.6245
L000356,King,Redmond,WA,98052,POINT (-122.1207376 47.6705374),-122.1207376,47.6705374
L000357,Contra Costa,Lafayette,CA,94549,POINT (-122.1207949 37.8918392),-122.1207949,37.8918392
L000358,Snohomish,Snohomish,WA,98296,POINT (-122.121841 47.841036),-122.121841,47.841036
L000359,Lewis,Glenoma,WA,98336,POINT (-122.1228547 46.5337193),-122.1228547,46.5337193
L000360,Contra Costa,Moraga,CA,94556,POINT (-122.1231453 37.8388925),-122.1231453,37.8388925
L000361,King,Renton,WA,98058,POINT (-122.1298876 47.4451257),-122.1298876,47.4451257
L000362,Contra Costa,Martinez,CA,94553,POINT (-122.13353 38.013905),-122.13353,38.013905
L000363,King,Renton,WA,98059,POINT (-122.134502 47.492627),-122.134502,47.492627
L000364,Whatcom,Maple Falls,WA,98266,POINT (-122.1439128 48.9395869),-122.1439128,48.9395869
L000365,King,Bellevue,WA,98007,POINT (-122.147385 47.599975),-122.147385,47.599975
L000366,King,Woodinville,WA,98072,POINT (-122.151665 47.75855),-122.151665,47.75855
L000367,Santa Clara,Palo Alto,CA,94301,POINT (-122.15933 37.44612),-122.15933,37.44612
L000368,Solano,Benicia,CA,94510,POINT (-122.161145 38.066164),-122.161145,38.066164
L000369,King,Bellevue,WA,98005,POINT (-122.167394 47.614119),-122.167394,47.614119
L000370,King,Bellevue,WA,98006,POINT (-122.16937 47.571015),-122.16937,47.571015
L000371,Snohomish,Marysville,WA,98270,POINT (-122.17673 48.05542),-122.17673,48.05542
L000372,King,Renton,WA,98056,POINT (-122.1819876 47.5098889),-122.1819876,47.5098889
L000373,King,Auburn,WA,98092,POINT (-122.1820969 47.3198995),-122.1820969,47.3198995
L000374,Lewis,Mineral,WA,98355,POINT (-122.18336 46.717785),-122.18336,46.717785
L000375,Pierce,Bonney Lake,WA,98391,POINT (-122.183805 47.18062),-122.183805,47.18062
L000376,Snohomish,Bothell,WA,98012,POINT (-122.1873 47.820245),-122.1873,47.820245
L000377,Whatcom,Acme,WA,98220,POINT (-122.1908341 48.6928748),-122.1908341,48.6928748
L000378,Pierce,Elbe,WA,98330,POINT (-122.1930968 46.7652553),-122.1930968,46.7652553
L000379,King,Renton,WA,98055,POINT (-122.197 47.43876),-122.197,47.43876
L000380,San Mateo,Atherton,CA,94027,POINT (-122.198895 37.46155),-122.198895,37.46155
L000381,King,Kent,WA,98030,POINT (-122.199755 47.37483),-122.199755,47.37483
